                    ************************************************************************************************
                    *  Z= 41 A= 93: Positive-Parity Spin-dependent Level Density [MeV-1] for Nb 93 and ldmodel= 1  *
 170.00  3.697  1.31E+35 1.22E+34 3.02E+35 1.23E+32 2.43E+32 3.55E+32 4.57E+32 5.46E+32 6.19E+32 6.76E+32 7.16E+32 7.39E+32 7.45E+32 7.36E+32 7.14E+32 6.81E+32 6.39E+32 5.91E+32 5.38E+32 4.83E+32 4.28E+32 3.74E+32 3.23E+32 2.75E+32 2.32E+32 1.92E+32 1.58E+32 1.28E+32 1.03E+32 8.15E+31 6.39E+31 4.95E+31 3.79E+31
 180.00  3.804  1.74E+36 1.60E+35 4.04E+36 1.58E+33 3.12E+33 4.56E+33 5.87E+33 7.02E+33 7.98E+33 8.73E+33 9.26E+33 9.58E+33 9.69E+33 9.60E+33 9.35E+33 8.95E+33 8.43E+33 7.82E+33 7.16E+33 6.46E+33 5.75E+33 5.05E+33 4.39E+33 3.76E+33 3.18E+33 2.66E+33 2.20E+33 1.80E+33 1.45E+33 1.16E+33 9.17E+32 7.16E+32 5.53E+32
 190.00  3.908  2.15E+37 1.98E+36 5.04E+37 1.90E+34 3.74E+34 5.47E+34 7.05E+34 8.44E+34 9.61E+34 1.05E+35 1.12E+35 1.16E+35 1.18E+35 1.17E+35 1.14E+35 1.10E+35 1.04E+35 9.66E+34 8.87E+34 8.04E+34 7.19E+34 6.35E+34 5.54E+34 4.77E+34 4.07E+34 3.42E+34 2.85E+34 2.34E+34 1.90E+34 1.53E+34 1.22E+34 9.59E+33 7.47E+33
 200.00  4.010  2.50E+38 2.28E+37 5.90E+38 2.13E+35 4.21E+35 6.17E+35 7.96E+35 9.53E+35 1.09E+36 1.19E+36 1.27E+36 1.32E+36 1.34E+36 1.34E+36 1.31E+36 1.26E+36 1.20E+36 1.12E+36 1.03E+36 9.38E+35 8.43E+35 7.48E+35 6.55E+35 5.68E+35 4.86E+35 4.11E+35 3.44E+35 2.85E+35 2.33E+35 1.89E+35 1.51E+35 1.20E+35 9.39E+34

                    ************************************************************************************************
                    *  Z= 41 A= 93: Negative-Parity Spin-dependent Level Density [MeV-1] for Nb 93 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.142  1.02E+00 4.08E+00 3.40E+01 3.54E-01 6.17E-01 7.38E-01 7.17E-01 5.96E-01 4.35E-01 2.82E-01 1.63E-01 8.50E-02 3.99E-02 1.70E-02 6.54E-03 2.28E-03 7.24E-04 2.09E-04 5.46E-05 1.30E-05 2.83E-06 5.59E-07 1.01E-07 1.65E-08 2.47E-09 3.36E-10 4.17E-11 4.72E-12 4.88E-13 4.60E-14 3.95E-15 3.10E-16 2.21E-17
   0.50  0.200  2.38E+00 5.44E+00 4.53E+01 4.71E-01 8.22E-01 9.84E-01 9.55E-01 7.94E-01 5.79E-01 3.75E-01 2.17E-01 1.13E-01 5.32E-02 2.26E-02 8.71E-03 3.04E-03 9.64E-04 2.78E-04 7.28E-05 1.74E-05 3.77E-06 7.44E-07 1.34E-07 2.20E-08 3.28E-09 4.48E-10 5.56E-11 6.30E-12 6.50E-13 6.13E-14 5.26E-15 4.13E-16 2.95E-17
   0.75  0.246  4.19E+00 7.25E+00 6.04E+01 6.28E-01 1.10E+00 1.31E+00 1.27E+00 1.06E+00 7.72E-01 5.00E-01 2.90E-01 1.51E-01 7.09E-02 3.01E-02 1.16E-02 4.05E-03 1.28E-03 3.70E-04 9.70E-05 2.31E-05 5.02E-06 9.92E-07 1.79E-07 2.93E-08 4.38E-09 5.96E-10 7.41E-11 8.39E-12 8.66E-13 8.16E-14 7.01E-15 5.50E-16 3.93E-17
   1.00  0.284  6.61E+00 9.66E+00 8.05E+01 8.36E-01 1.46E+00 1.75E+00 1.70E+00 1.41E+00 1.03E+00 6.66E-01 3.86E-01 2.01E-01 9.45E-02 4.02E-02 1.55E-02 5.40E-03 1.71E-03 4.93E-04 1.29E-04 3.08E-05 6.69E-06 1.32E-06 2.38E-07 3.90E-08 5.83E-09 7.95E-10 9.87E-11 1.12E-11 1.15E-12 1.09E-13 9.34E-15 7.32E-16 5.24E-17
   1.25  0.317  9.83E+00 1.29E+01 1.07E+02 1.11E+00 1.95E+00 2.33E+00 2.26E+00 1.88E+00 1.37E+00 8.88E-01 5.14E-01 2.68E-01 1.26E-01 5.35E-02 2.06E-02 7.19E-03 2.28E-03 6.57E-04 1.72E-04 4.11E-05 8.91E-06 1.76E-06 3.17E-07 5.20E-08 7.77E-09 1.06E-09 1.32E-10 1.49E-11 1.54E-12 1.45E-13 1.25E-14 9.76E-16 6.98E-17
   1.50  0.347  1.41E+01 1.72E+01 1.43E+02 1.47E+00 2.58E+00 3.09E+00 3.00E+00 2.51E+00 1.84E+00 1.19E+00 6.96E-01 3.65E-01 1.73E-01 7.40E-02 2.87E-02 1.01E-02 3.24E-03 9.45E-04 2.50E-04 6.04E-05 1.33E-05 2.66E-06 4.86E-07 8.10E-08 1.23E-08 1.70E-09 2.15E-10 2.48E-11 2.61E-12 2.51E-13 2.20E-14 1.76E-15 1.29E-16
   1.75  0.375  1.98E+01 2.29E+01 1.94E+02 1.91E+00 3.35E+00 4.04E+00 3.97E+00 3.35E+00 2.49E+00 1.65E+00 9.78E-01 5.24E-01 2.54E-01 1.12E-01 4.47E-02 1.63E-02 5.40E-03 1.63E-03 4.50E-04 1.13E-04 2.61E-05 5.48E-06 1.05E-06 1.85E-07 2.96E-08 4.35E-09 5.84E-10 7.18E-11 8.07E-12 8.30E-13 7.81E-14 6.73E-15 5.30E-16
   2.00  0.401  2.74E+01 3.05E+01 2.62E+02 2.48E+00 4.36E+00 5.29E+00 5.24E+00 4.47E+00 3.37E+00 2.26E+00 1.37E+00 7.49E-01 3.72E-01 1.68E-01 6.90E-02 2.59E-02 8.87E-03 2.78E-03 7.96E-04 2.09E-04 5.01E-05 1.10E-05 2.21E-06 4.09E-07 6.91E-08 1.07E-08 1.52E-09 1.98E-10 2.37E-11 2.60E-12 2.62E-13 2.42E-14 2.05E-15
   2.25  0.425  3.76E+01 4.06E+01 3.54E+02 3.21E+00 5.68E+00 6.93E+00 6.92E+00 5.97E+00 4.55E+00 3.10E+00 1.91E+00 1.07E+00 5.41E-01 2.50E-01 1.06E-01 4.08E-02 1.44E-02 4.66E-03 1.38E-03 3.77E-04 9.41E-05 2.16E-05 4.54E-06 8.79E-07 1.56E-07 2.55E-08 3.82E-09 5.27E-10 6.68E-11 7.79E-12 8.35E-13 8.23E-14 7.46E-15
   2.50  0.448  5.11E+01 5.41E+01 4.78E+02 4.17E+00 7.40E+00 9.08E+00 9.14E+00 7.96E+00 6.14E+00 4.25E+00 2.66E+00 1.51E+00 7.82E-01 3.70E-01 1.60E-01 6.35E-02 2.31E-02 7.73E-03 2.37E-03 6.69E-04 1.74E-04 4.15E-05 9.11E-06 1.84E-06 3.43E-07 5.88E-08 9.28E-09 1.35E-09 1.81E-10 2.23E-11 2.54E-12 2.66E-13 2.58E-14
   2.75  0.470  6.91E+01 7.21E+01 6.46E+02 5.43E+00 9.65E+00 1.19E+01 1.21E+01 1.06E+01 8.27E+00 5.80E+00 3.69E+00 2.13E+00 1.13E+00 5.44E-01 2.41E-01 9.82E-02 3.68E-02 1.27E-02 4.01E-03 1.17E-03 3.15E-04 7.81E-05 1.79E-05 3.77E-06 7.33E-07 1.32E-07 2.18E-08 3.34E-09 4.72E-10 6.15E-11 7.41E-12 8.24E-13 8.46E-14
   3.00  0.491  9.31E+01 9.60E+01 8.71E+02 7.06E+00 1.26E+01 1.56E+01 1.59E+01 1.41E+01 1.11E+01 7.91E+00 5.10E+00 3.00E+00 1.61E+00 7.96E-01 3.61E-01 1.51E-01 5.79E-02 2.05E-02 6.70E-03 2.02E-03 5.62E-04 1.45E-04 3.43E-05 7.54E-06 1.53E-06 2.87E-07 4.98E-08 8.00E-09 1.19E-09 1.63E-10 2.07E-11 2.44E-12 2.65E-13
   3.25  0.511  1.25E+02 1.28E+02 1.18E+03 9.18E+00 1.64E+01 2.04E+01 2.10E+01 1.88E+01 1.50E+01 1.08E+01 7.03E+00 4.20E+00 2.30E+00 1.16E+00 5.36E-01 2.29E-01 9.03E-02 3.29E-02 1.10E-02 3.44E-03 9.88E-04 2.63E-04 6.48E-05 1.48E-05 3.12E-06 6.11E-07 1.11E-07 1.86E-08 2.90E-09 4.19E-10 5.60E-11 6.94E-12 7.98E-13
   3.50  0.530  1.68E+02 1.70E+02 1.58E+03 1.20E+01 2.14E+01 2.68E+01 2.77E+01 2.50E+01 2.01E+01 1.46E+01 9.68E+00 5.87E+00 3.27E+00 1.68E+00 7.93E-01 3.46E-01 1.40E-01 5.22E-02 1.80E-02 5.78E-03 1.71E-03 4.71E-04 1.20E-04 2.84E-05 6.24E-06 1.27E-06 2.40E-07 4.22E-08 6.87E-09 1.04E-09 1.46E-10 1.91E-11 2.31E-12
   3.75  0.549  2.25E+02 2.27E+02 2.14E+03 1.56E+01 2.80E+01 3.52E+01 3.66E+01 3.32E+01 2.70E+01 1.98E+01 1.33E+01 8.18E+00 4.63E+00 2.42E+00 1.17E+00 5.20E-01 2.15E-01 8.22E-02 2.92E-02 9.60E-03 2.93E-03 8.33E-04 2.19E-04 5.38E-05 1.22E-05 2.59E-06 5.09E-07 9.32E-08 1.58E-08 2.51E-09 3.69E-10 5.05E-11 6.43E-12
   4.00  0.567  3.00E+02 3.03E+02 2.88E+03 2.03E+01 3.66E+01 4.61E+01 4.82E+01 4.41E+01 3.61E+01 2.69E+01 1.82E+01 1.14E+01 6.54E+00 3.47E+00 1.71E+00 7.76E-01 3.28E-01 1.28E-01 4.67E-02 1.58E-02 4.96E-03 1.45E-03 3.95E-04 1.00E-04 2.36E-05 5.17E-06 1.06E-06 2.01E-07 3.56E-08 5.88E-09 9.05E-10 1.30E-10 1.73E-11
   4.25  0.585  4.01E+02 4.03E+02 3.88E+03 2.65E+01 4.78E+01 6.05E+01 6.36E+01 5.86E+01 4.84E+01 3.63E+01 2.50E+01 1.58E+01 9.20E+00 4.97E+00 2.48E+00 1.15E+00 4.96E-01 1.99E-01 7.41E-02 2.57E-02 8.30E-03 2.50E-03 7.00E-04 1.83E-04 4.46E-05 1.01E-05 2.15E-06 4.24E-07 7.82E-08 1.35E-08 2.16E-09 3.24E-10 4.52E-11
   4.50  0.601  5.35E+02 5.37E+02 5.23E+03 3.45E+01 6.25E+01 7.94E+01 8.39E+01 7.78E+01 6.48E+01 4.91E+01 3.41E+01 2.18E+01 1.29E+01 7.08E+00 3.60E+00 1.70E+00 7.48E-01 3.06E-01 1.17E-01 4.15E-02 1.37E-02 4.25E-03 1.23E-03 3.30E-04 8.31E-05 1.95E-05 4.28E-06 8.77E-07 1.68E-07 3.00E-08 5.02E-09 7.85E-10 1.15E-10
   4.75  0.618  7.14E+02 7.16E+02 7.04E+03 4.50E+01 8.17E+01 1.04E+02 1.11E+02 1.03E+02 8.67E+01 6.63E+01 4.66E+01 3.02E+01 1.81E+01 1.01E+01 5.20E+00 2.50E+00 1.12E+00 4.68E-01 1.82E-01 6.63E-02 2.25E-02 7.15E-03 2.12E-03 5.88E-04 1.53E-04 3.70E-05 8.39E-06 1.78E-06 3.53E-07 6.56E-08 1.14E-08 1.85E-09 2.82E-10
   5.00  0.634  9.53E+02 9.54E+02 9.48E+03 5.88E+01 1.07E+02 1.37E+02 1.46E+02 1.37E+02 1.16E+02 8.94E+01 6.34E+01 4.16E+01 2.52E+01 1.42E+01 7.47E+00 3.66E+00 1.67E+00 7.11E-01 2.83E-01 1.05E-01 3.66E-02 1.19E-02 3.63E-03 1.03E-03 2.76E-04 6.90E-05 1.62E-05 3.54E-06 7.28E-07 1.40E-07 2.53E-08 4.28E-09 6.77E-10
   5.50  0.665  1.80E+03 1.69E+03 1.72E+04 1.00E+02 1.83E+02 2.36E+02 2.54E+02 2.41E+02 2.07E+02 1.62E+02 1.17E+02 7.85E+01 4.89E+01 2.83E+01 1.53E+01 7.73E+00 3.65E+00 1.61E+00 6.68E-01 2.59E-01 9.43E-02 3.22E-02 1.03E-02 3.09E-03 8.72E-04 2.31E-04 5.74E-05 1.34E-05 2.93E-06 6.04E-07 1.17E-07 2.13E-08 3.63E-09
   6.00  0.695  3.30E+03 3.01E+03 3.11E+04 1.71E+02 3.14E+02 4.07E+02 4.42E+02 4.24E+02 3.68E+02 2.93E+02 2.16E+02 1.47E+02 9.38E+01 5.57E+01 3.09E+01 1.61E+01 7.85E+00 3.59E+00 1.54E+00 6.22E-01 2.36E-01 8.39E-02 2.81E-02 8.86E-03 2.63E-03 7.34E-04 1.93E-04 4.76E-05 1.11E-05 2.43E-06 5.02E-07 9.75E-08 1.79E-08
   6.50  0.723  5.97E+03 5.34E+03 5.63E+04 2.93E+02 5.39E+02 7.02E+02 7.68E+02 7.45E+02 6.55E+02 5.29E+02 3.96E+02 2.75E+02 1.79E+02 1.09E+02 6.19E+01 3.31E+01 1.66E+01 7.84E+00 3.48E+00 1.46E+00 5.73E-01 2.13E-01 7.43E-02 2.45E-02 7.61E-03 2.23E-03 6.16E-04 1.61E-04 3.96E-05 9.18E-06 2.01E-06 4.16E-07 8.13E-08
   7.00  0.750  1.07E+04 9.48E+03 1.02E+05 5.03E+02 9.27E+02 1.21E+03 1.34E+03 1.31E+03 1.16E+03 9.52E+02 7.23E+02 5.12E+02 3.39E+02 2.10E+02 1.23E+02 6.71E+01 3.46E+01 1.68E+01 7.72E+00 3.34E+00 1.36E+00 5.24E-01 1.91E-01 6.55E-02 2.12E-02 6.52E-03 1.89E-03 5.17E-04 1.34E-04 3.28E-05 7.61E-06 1.67E-06 3.45E-07
   7.50  0.776  1.91E+04 1.68E+04 1.84E+05 8.63E+02 1.59E+03 2.10E+03 2.33E+03 2.29E+03 2.06E+03 1.71E+03 1.32E+03 9.46E+02 6.38E+02 4.04E+02 2.40E+02 1.35E+02 7.14E+01 3.57E+01 1.68E+01 7.50E+00 3.16E+00 1.26E+00 4.76E-01 1.70E-01 5.74E-02 1.84E-02 5.57E-03 1.60E-03 4.34E-04 1.12E-04 2.73E-05 6.30E-06 1.38E-06
   8.00  0.802  3.41E+04 2.98E+04 3.32E+05 1.48E+03 2.74E+03 3.62E+03 4.04E+03 4.02E+03 3.64E+03 3.06E+03 2.39E+03 1.74E+03 1.20E+03 7.72E+02 4.70E+02 2.70E+02 1.46E+02 7.51E+01 3.65E+01 1.68E+01 7.30E+00 3.01E+00 1.18E+00 4.37E-01 1.54E-01 5.12E-02 1.62E-02 4.86E-03 1.39E-03 3.75E-04 9.62E-05 2.34E-05 5.42E-06
   8.50  0.827  6.01E+04 5.21E+04 5.90E+05 2.49E+03 4.63E+03 6.15E+03 6.90E+03 6.92E+03 6.34E+03 5.38E+03 4.26E+03 3.16E+03 2.20E+03 1.45E+03 9.00E+02 5.28E+02 2.94E+02 1.55E+02 7.72E+01 3.65E+01 1.64E+01 7.00E+00 2.83E+00 1.09E+00 3.98E-01 1.38E-01 4.56E-02 1.43E-02 4.26E-03 1.21E-03 3.25E-04 8.34E-05 2.03E-05
   9.00  0.851  1.05E+05 8.97E+04 1.03E+06 4.15E+03 7.73E+03 1.03E+04 1.16E+04 1.18E+04 1.09E+04 9.32E+03 7.46E+03 5.61E+03 3.97E+03 2.66E+03 1.68E+03 1.01E+03 5.72E+02 3.08E+02 1.58E+02 7.66E+01 3.54E+01 1.55E+01 6.49E+00 2.58E+00 9.76E-01 3.51E-01 1.20E-01 3.92E-02 1.22E-02 3.60E-03 1.01E-03 2.72E-04 6.96E-05
   9.50  0.874  1.81E+05 1.52E+05 1.78E+06 6.83E+03 1.27E+04 1.70E+04 1.94E+04 1.97E+04 1.83E+04 1.59E+04 1.28E+04 9.78E+03 7.02E+03 4.77E+03 3.07E+03 1.87E+03 1.08E+03 5.97E+02 3.12E+02 1.55E+02 7.36E+01 3.32E+01 1.43E+01 5.85E+00 2.28E+00 8.48E-01 3.01E-01 1.02E-01 3.27E-02 1.01E-02 2.95E-03 8.25E-04 2.20E-04
  10.00  0.897  3.08E+05 2.55E+05 3.02E+06 1.11E+04 2.08E+04 2.79E+04 3.18E+04 3.25E+04 3.05E+04 2.66E+04 2.18E+04 1.68E+04 1.22E+04 8.40E+03 5.49E+03 3.40E+03 2.01E+03 1.13E+03 6.01E+02 3.06E+02 1.48E+02 6.86E+01 3.03E+01 1.27E+01 5.11E+00 1.96E+00 7.16E-01 2.50E-01 8.34E-02 2.65E-02 8.07E-03 2.34E-03 6.50E-04
  11.00  0.940  9.96E+05 6.88E+05 8.39E+06 2.85E+04 5.35E+04 7.22E+04 8.30E+04 8.57E+04 8.16E+04 7.23E+04 6.02E+04 4.73E+04 3.51E+04 2.48E+04 1.66E+04 1.06E+04 6.47E+03 3.75E+03 2.08E+03 1.10E+03 5.56E+02 2.68E+02 1.24E+02 5.47E+01 2.31E+01 9.32E+00 3.60E+00 1.33E+00 4.71E-01 1.60E-01 5.18E-02 1.61E-02 4.78E-03
  12.00  0.982  2.78E+06 1.78E+06 2.23E+07 7.04E+04 1.32E+05 1.80E+05 2.08E+05 2.17E+05 2.09E+05 1.87E+05 1.58E+05 1.27E+05 9.59E+04 6.91E+04 4.75E+04 3.11E+04 1.94E+04 1.16E+04 6.64E+03 3.63E+03 1.90E+03 9.52E+02 4.57E+02 2.10E+02 9.26E+01 3.91E+01 1.59E+01 6.16E+00 2.29E+00 8.19E-01 2.81E-01 9.23E-02 2.91E-02
  13.00  1.022  7.23E+06 4.45E+06 5.69E+07 1.68E+05 3.18E+05 4.33E+05 5.04E+05 5.30E+05 5.14E+05 4.67E+05 4.00E+05 3.24E+05 2.50E+05 1.83E+05 1.29E+05 8.60E+04 5.51E+04 3.38E+04 1.98E+04 1.12E+04 6.02E+03 3.12E+03 1.55E+03 7.38E+02 3.38E+02 1.48E+02 6.26E+01 2.54E+01 9.88E+00 3.70E+00 1.33E+00 4.59E-01 1.53E-01
  14.00  1.061  1.80E+07 1.08E+07 1.40E+08 3.90E+05 7.39E+05 1.01E+06 1.18E+06 1.25E+06 1.23E+06 1.13E+06 9.74E+05 8.00E+05 6.26E+05 4.67E+05 3.33E+05 2.27E+05 1.48E+05 9.31E+04 5.60E+04 3.23E+04 1.79E+04 9.53E+03 4.88E+03 2.40E+03 1.14E+03 5.17E+02 2.26E+02 9.51E+01 3.85E+01 1.50E+01 5.63E+00 2.03E+00 7.06E-01
  15.00  1.098  4.32E+07 2.52E+07 3.35E+08 8.82E+05 1.67E+06 2.30E+06 2.70E+06 2.88E+06 2.84E+06 2.63E+06 2.30E+06 1.91E+06 1.51E+06 1.15E+06 8.30E+05 5.76E+05 3.83E+05 2.45E+05 1.51E+05 8.89E+04 5.04E+04 2.76E+04 1.45E+04 7.33E+03 3.57E+03 1.67E+03 7.56E+02 3.29E+02 1.38E+02 5.58E+01 2.17E+01 8.16E+00 2.95E+00
  16.00  1.134  1.01E+08 5.76E+07 7.78E+08 1.95E+06 3.70E+06 5.09E+06 6.02E+06 6.44E+06 6.40E+06 5.97E+06 5.27E+06 4.43E+06 3.55E+06 2.72E+06 2.00E+06 1.41E+06 9.53E+05 6.20E+05 3.88E+05 2.34E+05 1.36E+05 7.58E+04 4.08E+04 2.12E+04 1.06E+04 5.10E+03 2.37E+03 1.06E+03 4.61E+02 1.92E+02 7.74E+01 3.01E+01 1.13E+01
  17.00  1.169  2.29E+08 1.28E+08 1.76E+09 4.20E+06 7.99E+06 1.10E+07 1.31E+07 1.41E+07 1.41E+07 1.32E+07 1.18E+07 9.99E+06 8.09E+06 6.27E+06 4.67E+06 3.33E+06 2.29E+06 1.52E+06 9.65E+05 5.92E+05 3.50E+05 2.00E+05 1.10E+05 5.83E+04 2.98E+04 1.48E+04 7.04E+03 3.24E+03 1.44E+03 6.21E+02 2.58E+02 1.03E+02 4.01E+01
  18.00  1.203  5.09E+08 2.80E+08 3.90E+09 8.89E+06 1.69E+07 2.34E+07 2.79E+07 3.02E+07 3.03E+07 2.87E+07 2.57E+07 2.20E+07 1.80E+07 1.41E+07 1.06E+07 7.68E+06 5.35E+06 3.59E+06 2.32E+06 1.45E+06 8.71E+05 5.06E+05 2.84E+05 1.54E+05 8.05E+04 4.07E+04 1.99E+04 9.39E+03 4.29E+03 1.89E+03 8.08E+02 3.33E+02 1.33E+02
  19.00  1.236  1.11E+09 5.98E+08 8.46E+09 1.84E+07 3.52E+07 4.88E+07 5.83E+07 6.33E+07 6.39E+07 6.08E+07 5.50E+07 4.74E+07 3.91E+07 3.09E+07 2.35E+07 1.72E+07 1.21E+07 8.25E+06 5.41E+06 3.43E+06 2.10E+06 1.24E+06 7.08E+05 3.91E+05 2.09E+05 1.08E+05 5.38E+04 2.60E+04 1.21E+04 5.49E+03 2.40E+03 1.02E+03 4.18E+02
  20.00  1.268  2.36E+09 1.25E+09 1.80E+10 3.76E+07 7.19E+07 1.00E+08 1.20E+08 1.31E+08 1.32E+08 1.27E+08 1.15E+08 1.00E+08 8.31E+07 6.64E+07 5.10E+07 3.77E+07 2.69E+07 1.85E+07 1.23E+07 7.90E+06 4.90E+06 2.94E+06 1.71E+06 9.60E+05 5.22E+05 2.75E+05 1.40E+05 6.90E+04 3.29E+04 1.52E+04 6.83E+03 2.96E+03 1.25E+03
  22.50  1.345  2.09E+10 7.40E+09 1.10E+11 2.09E+08 4.01E+08 5.60E+08 6.75E+08 7.41E+08 7.60E+08 7.36E+08 6.78E+08 5.98E+08 5.06E+08 4.12E+08 3.23E+08 2.45E+08 1.79E+08 1.26E+08 8.65E+07 5.73E+07 3.67E+07 2.28E+07 1.37E+07 8.01E+06 4.53E+06 2.48E+06 1.32E+06 6.82E+05 3.41E+05 1.66E+05 7.81E+04 3.58E+04 1.59E+04
  25.00  1.418  1.21E+11 3.99E+10 6.07E+11 1.07E+09 2.05E+09 2.87E+09 3.48E+09 3.85E+09 3.98E+09 3.90E+09 3.63E+09 3.25E+09 2.79E+09 2.31E+09 1.84E+09 1.42E+09 1.06E+09 7.68E+08 5.38E+08 3.65E+08 2.41E+08 1.54E+08 9.53E+07 5.74E+07 3.36E+07 1.91E+07 1.05E+07 5.64E+06 2.93E+06 1.49E+06 7.31E+05 3.49E+05 1.62E+05
  30.00  1.553  4.75E+12 9.25E+11 1.48E+13 2.25E+10 4.34E+10 6.12E+10 7.49E+10 8.38E+10 8.78E+10 8.73E+10 8.29E+10 7.56E+10 6.65E+10 5.64E+10 4.64E+10 3.69E+10 2.85E+10 2.14E+10 1.55E+10 1.10E+10 7.56E+09 5.06E+09 3.29E+09 2.08E+09 1.28E+09 7.71E+08 4.51E+08 2.57E+08 1.42E+08 7.69E+07 4.05E+07 2.08E+07 1.04E+07
  40.00  1.793  2.54E+15 2.53E+14 4.35E+15 5.32E+12 1.03E+13 1.47E+13 1.82E+13 2.06E+13 2.20E+13 2.24E+13 2.18E+13 2.05E+13 1.86E+13 1.64E+13 1.40E+13 1.16E+13 9.39E+12 7.39E+12 5.67E+12 4.24E+12 3.10E+12 2.21E+12 1.54E+12 1.04E+12 6.92E+11 4.48E+11 2.84E+11 1.76E+11 1.06E+11 6.29E+10 3.63E+10 2.05E+10 1.14E+10
  50.00  2.005  3.68E+17 3.66E+16 6.66E+17 6.86E+14 1.33E+15 1.91E+15 2.38E+15 2.73E+15 2.96E+15 3.05E+15 3.02E+15 2.89E+15 2.69E+15 2.42E+15 2.12E+15 1.82E+15 1.51E+15 1.23E+15 9.80E+14 7.62E+14 5.79E+14 4.30E+14 3.13E+14 2.23E+14 1.55E+14 1.06E+14 7.09E+13 4.64E+13 2.98E+13 1.87E+13 1.15E+13 6.95E+12 4.11E+12
  60.00  2.196  3.38E+19 3.34E+18 6.37E+19 5.72E+16 1.11E+17 1.60E+17 2.01E+17 2.32E+17 2.54E+17 2.64E+17 2.66E+17 2.58E+17 2.43E+17 2.23E+17 2.00E+17 1.74E+17 1.49E+17 1.24E+17 1.01E+17 8.09E+16 6.33E+16 4.86E+16 3.65E+16 2.69E+16 1.94E+16 1.38E+16 9.59E+15 6.54E+15 4.38E+15 2.88E+15 1.86E+15 1.18E+15 7.31E+14
  70.00  2.372  2.19E+21 2.15E+20 4.27E+21 3.41E+18 6.66E+18 9.59E+18 1.21E+19 1.41E+19 1.55E+19 1.63E+19 1.65E+19 1.62E+19 1.55E+19 1.44E+19 1.31E+19 1.16E+19 1.01E+19 8.56E+18 7.13E+18 5.82E+18 4.66E+18 3.66E+18 2.82E+18 2.14E+18 1.59E+18 1.16E+18 8.31E+17 5.86E+17 4.05E+17 2.76E+17 1.84E+17 1.21E+17 7.83E+16
  80.00  2.536  1.07E+23 1.05E+22 2.16E+23 1.56E+20 3.04E+20 4.40E+20 5.57E+20 6.51E+20 7.19E+20 7.62E+20 7.78E+20 7.71E+20 7.44E+20 7.00E+20 6.43E+20 5.78E+20 5.09E+20 4.39E+20 3.72E+20 3.09E+20 2.52E+20 2.02E+20 1.59E+20 1.23E+20 9.33E+19 6.98E+19 5.13E+19 3.71E+19 2.63E+19 1.84E+19 1.27E+19 8.58E+18 5.72E+18
  90.00  2.690  4.19E+24 4.09E+23 8.64E+24 5.70E+21 1.12E+22 1.62E+22 2.05E+22 2.41E+22 2.68E+22 2.85E+22 2.93E+22 2.93E+22 2.84E+22 2.70E+22 2.51E+22 2.28E+22 2.03E+22 1.77E+22 1.52E+22 1.28E+22 1.06E+22 8.64E+21 6.91E+21 5.44E+21 4.21E+21 3.21E+21 2.41E+21 1.78E+21 1.29E+21 9.25E+20 6.52E+20 4.52E+20 3.09E+20
 100.00  2.835  1.35E+26 1.31E+25 2.85E+26 1.74E+23 3.40E+23 4.94E+23 6.28E+23 7.40E+23 8.25E+23 8.83E+23 9.13E+23 9.17E+23 8.98E+23 8.59E+23 8.04E+23 7.37E+23 6.63E+23 5.86E+23 5.08E+23 4.33E+23 3.63E+23 3.00E+23 2.43E+23 1.94E+23 1.53E+23 1.19E+23 9.04E+22 6.80E+22 5.03E+22 3.67E+22 2.64E+22 1.87E+22 1.31E+22
 110.00  2.974  3.71E+27 3.57E+26 7.95E+27 4.51E+24 8.85E+24 1.29E+25 1.64E+25 1.94E+25 2.17E+25 2.33E+25 2.42E+25 2.44E+25 2.41E+25 2.32E+25 2.18E+25 2.02E+25 1.83E+25 1.63E+25 1.43E+25 1.23E+25 1.04E+25 8.72E+24 7.16E+24 5.80E+24 4.62E+24 3.63E+24 2.81E+24 2.15E+24 1.62E+24 1.20E+24 8.76E+23 6.32E+23 4.50E+23
 120.00  3.106  8.82E+28 8.45E+27 1.92E+29 1.02E+26 2.00E+26 2.92E+26 3.73E+26 4.41E+26 4.95E+26 5.34E+26 5.57E+26 5.65E+26 5.59E+26 5.41E+26 5.14E+26 4.78E+26 4.37E+26 3.92E+26 3.47E+26 3.02E+26 2.58E+26 2.18E+26 1.81E+26 1.48E+26 1.19E+26 9.49E+25 7.44E+25 5.76E+25 4.39E+25 3.31E+25 2.45E+25 1.80E+25 1.30E+25
